File,Line,Error Type,Quality,Message,Notes,Context
src/codegen/lower/mod.rs,524,codegen,Adequate,break outside of loop,Clear but could be more specific,"CompileError::codegen(""break outside of loop"".to_string()) })?;"
src/codegen/lower/mod.rs,532,codegen,Adequate,continue outside of loop,Clear but could be more specific,"CompileError::codegen(""continue outside of loop"".to_string()) })?;"
src/codegen/lower/mod.rs,739,codegen,Adequate,"for loop requires array, range, string, receiver, or stream",Clear but could be more specific,"_ => Err(CompileError::codegen(""for loop requires array, range, string, receiver, or stream"".to_string())), }"
src/codegen/lower/mod.rs,847,codegen,Adequate,for loop requires array,Clear but could be more specific,"_ => return Err(CompileError::codegen(""for loop requires array"".to_string())), };"
src/codegen/lower/mod.rs,1118,codegen,Adequate,for-in requires receiver,Clear but could be more specific,"_ => return Err(CompileError::codegen(""for-in requires receiver"".to_string())), };"
src/codegen/lower/mod.rs,1202,codegen,Adequate,for-in requires stream,Clear but could be more specific,"_ => return Err(CompileError::codegen(""for-in requires stream"".to_string())), };"
src/codegen/lower/mod.rs,1292,codegen,Adequate,match on non-enum,Basic error message,"_ => return Err(CompileError::codegen(""match on non-enum"".to_string())), };"
src/codegen/lower/mod.rs,1465,codegen,Adequate,missing ScopeResolution for scope block,Clear but could be more specific,"CompileError::codegen(""missing ScopeResolution for scope block"".to_string()) })?;"
src/codegen/lower/mod.rs,1525,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""scope: scoped instance '{name}' not yet created (ordering bug)"""
src/codegen/lower/mod.rs,1558,codegen,Adequate,format,Basic error message,"CompileError::codegen(format!( ""scope: binding class '{class_name}' not available"""
src/codegen/lower/mod.rs,1893,codegen,Adequate,invalid cast in lowered AST,Clear but could be more specific,"_ => Err(CompileError::codegen(""invalid cast in lowered AST"".to_string())), }"
src/codegen/lower/mod.rs,2032,codegen,Adequate,closures should be lifted before codegen,Clear but could be more specific,"Err(CompileError::codegen(""closures should be lifted before codegen"")) }"
src/codegen/lower/mod.rs,2073,codegen,Adequate,spawn should contain ClosureCreate after lifting,Clear but could be more specific,"_ => Err(CompileError::codegen(""spawn should contain ClosureCreate after lifting"")) }"
src/codegen/lower/mod.rs,2077,codegen,Adequate,range expressions can only be used as for loop iterables,Clear but could be more specific,"Err(CompileError::codegen(""range expressions can only be used as for loop iterables"".to_string())) }"
src/codegen/mod.rs,34,codegen,Adequate,format,Basic error message,"Err(CompileError::codegen(format!( ""unsupported host target: {}-{}"","
src/lib.rs,327,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""no tests found in '{}'"", entry_file.display()"
src/lib.rs,433,link,Adequate,failed to compile runtime,Clear but could be more specific,"return Err(CompileError::link(""failed to compile runtime"")); }"
src/lib.rs,444,link,Adequate,msg,Basic error message,"Err(msg) => Err(CompileError::link(msg.clone())), }"
src/lib.rs,454,link,Adequate,msg,Basic error message,"Err(msg) => Err(CompileError::link(msg.clone())), }"
src/lib.rs,508,link,Adequate,linker failed,Basic error message,"return Err(CompileError::link(""linker failed"")); }"
src/lib.rs,546,codegen,Adequate,system file has no parent directory,Clear but could be more specific,"CompileError::codegen(""system file has no parent directory""))?;  let source = std::fs::read_to_string(&system_file)"
src/lib.rs,555,codegen,Adequate,file does not contain a system declaration,Clear but could be more specific,"CompileError::codegen(""file does not contain a system declaration""))?;  // Validate: no top-level fn main() in system file"
src/lib.rs,645,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""cannot find module '{}': no directory or file found"", module_name"
src/lsp/analysis.rs,31,codegen,Adequate,format,Basic error message,"AnalysisError::compile(CompileError::codegen(format!( ""could not resolve path '{}': {e}"","
src/modules.rs,74,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""circular import detected: '{}'"", dir.display()"
src/modules.rs,118,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""multiple app declarations in module directory '{}'"","
src/modules.rs,127,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""multiple system declarations in module directory '{}'"","
src/modules.rs,139,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""multiple tests declarations in module directory '{}'"","
src/modules.rs,192,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""circular import detected: '{}'"","
src/modules.rs,283,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""circular import detected: '{}'"","
src/modules.rs,366,codegen,Adequate,format,Basic error message,"return Err(CompileError::codegen(format!( ""app declarations are not allowed in imported modules (found in '{}')"","
src/modules.rs,382,codegen,Adequate,msg,Basic error message,return Err(CompileError::codegen(msg)); }
