File,Line,Error_Type,Message_Template
"src/ambient.rs",28,type_err,"return Err(CompileError::type_err("
"src/ambient.rs",54,type_err,"return Err(CompileError::type_err("
"src/ambient.rs",62,type_err,"return Err(CompileError::type_err("
"src/ambient.rs",114,type_err,"return Err(CompileError::type_err("
"src/ambient.rs",121,type_err,"return Err(CompileError::type_err("
"src/ambient.rs",168,type_err,"return Err(CompileError::type_err("
"src/ambient.rs",175,type_err,"return Err(CompileError::type_err("
"src/lexer/mod.rs",24,syntax,"return Err(CompileError::syntax("
"src/lexer/mod.rs",42,syntax,"return Err(CompileError::syntax("
"src/manifest.rs",99,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",105,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",113,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",122,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",186,manifest,"CompileError::manifest("
"src/manifest.rs",193,manifest,"CompileError::manifest("
"src/manifest.rs",201,manifest,"CompileError::manifest("
"src/manifest.rs",208,manifest,"CompileError::manifest("
"src/manifest.rs",215,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",235,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",242,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",249,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",260,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",285,manifest,"CompileError::manifest("
"src/manifest.rs",329,manifest,"return Err(CompileError::manifest("
"src/manifest.rs",340,manifest,".ok_or_else(|| CompileError::manifest("
"src/manifest.rs",365,manifest,"CompileError::manifest("
"src/manifest.rs",405,manifest,"None => return Err(CompileError::manifest("
"src/marshal.rs",266,codegen,"return Err(CompileError::codegen("
"src/marshal.rs",307,codegen,"return Err(CompileError::codegen("
"src/marshal.rs",1227,codegen,"return Err(CompileError::codegen("
"src/marshal.rs",1353,codegen,"return Err(CompileError::codegen("
"src/marshal.rs",1470,codegen,"_ => Err(CompileError::codegen("
"src/marshal.rs",1791,codegen,"return Err(CompileError::codegen("
"src/marshal.rs",1909,codegen,"return Err(CompileError::codegen("
"src/marshal.rs",2039,codegen,"Err(CompileError::codegen("
"src/lsp/diagnostics.rs",18,,"CompileError::Syntax { msg, span } | CompileError::Type { msg, span } => {"
"src/lsp/diagnostics.rs",21,,"CompileError::Syntax { .. } => "plutoc(syntax)","
"src/lsp/diagnostics.rs",22,,"CompileError::Type { .. } => "plutoc(type)","
"src/lsp/diagnostics.rs",47,,"CompileError::Codegen { msg } | CompileError::Link { msg } => {"
"src/lsp/diagnostics.rs",66,,"CompileError::Manifest { msg, path } => {"
"src/lsp/analysis.rs",31,codegen,"AnalysisError::compile(CompileError::codegen(format!("
"src/parser/mod.rs",103,syntax,"Some(tok) => Err(CompileError::syntax("
"src/parser/mod.rs",107,syntax,"None => Err(CompileError::syntax("
"src/parser/mod.rs",122,syntax,"Some(tok) => Err(CompileError::syntax("
"src/parser/mod.rs",126,syntax,"None => Err(CompileError::syntax("
"src/parser/mod.rs",275,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",282,syntax,"CompileError::syntax("
"src/parser/mod.rs",295,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",301,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",308,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",323,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",334,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",345,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",356,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",367,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",380,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",388,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",397,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",403,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",410,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",421,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",427,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",433,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",444,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",450,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",457,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",466,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",472,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",481,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",493,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",502,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",511,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",520,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",529,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",551,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",560,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",603,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",618,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",638,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",730,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",911,syntax,"return Err(CompileError::syntax("expected 'self' after 'mut'", mut_span));"
"src/parser/mod.rs",965,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",1096,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",1249,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",1279,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",1504,syntax,"CompileError::syntax("unexpected end of file", self.eof_span())"
"src/parser/mod.rs",1600,syntax,"_ => Err(CompileError::syntax("
"src/parser/mod.rs",1658,syntax,"_ => Err(CompileError::syntax("
"src/parser/mod.rs",1710,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",1958,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",1992,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2012,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2027,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2081,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2087,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2568,syntax,"CompileError::syntax("unexpected end of file in expression", self.eof_span())"
"src/parser/mod.rs",2727,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2736,syntax,"Err(CompileError::syntax("
"src/parser/mod.rs",2747,syntax,"_ => Err(CompileError::syntax("
"src/parser/mod.rs",2802,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2821,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2883,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2909,syntax,"return Err(CompileError::syntax("
"src/parser/mod.rs",2923,syntax,"return Err(CompileError::syntax("
"src/rust_ffi/mod.rs",57,syntax,"return Err(CompileError::syntax("
"src/rust_ffi/mod.rs",75,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",86,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",121,codegen,"return Err(CompileError::codegen(format!("
"src/rust_ffi/mod.rs",134,codegen,"CompileError::codegen(format!("failed to create glue crate directory: {}", e))"
"src/rust_ffi/mod.rs",227,codegen,"return Err(CompileError::codegen(format!("
"src/rust_ffi/mod.rs",243,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",251,codegen,"return Err(CompileError::codegen(format!("
"src/rust_ffi/mod.rs",278,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",285,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",294,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",302,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",309,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",357,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",363,codegen,"CompileError::codegen(format!("
"src/rust_ffi/mod.rs",463,codegen,"CompileError::codegen(format!("failed to create glue crate src dir: {}", e))"
"src/rust_ffi/mod.rs",479,codegen,"CompileError::codegen(format!("failed to write glue Cargo.toml: {}", e))"
"src/rust_ffi/mod.rs",635,codegen,"CompileError::codegen(format!("failed to write glue lib.rs: {}", e))"
"src/rust_ffi/mod.rs",655,codegen,"CompileError::codegen(format!("failed to run cargo build for glue crate: {}", e))"
"src/rust_ffi/mod.rs",660,codegen,"return Err(CompileError::codegen(format!("
"src/rust_ffi/mod.rs",732,codegen,"Err(CompileError::codegen(format!("
"src/git_cache.rs",38,manifest,"CompileError::manifest("
"src/git_cache.rs",167,manifest,"CompileError::manifest("
"src/git_cache.rs",175,manifest,"return Err(CompileError::manifest("
"src/codegen/runtime.rs",216,codegen,".map_err(|e| CompileError::codegen(format!("declare {name} error: {e}")))?;"
"src/codegen/mod.rs",34,codegen,"Err(CompileError::codegen(format!("
"src/codegen/mod.rs",53,codegen,".map_err(|e| CompileError::codegen(format!("declare {prefix} global: {e}")))?;"
"src/codegen/mod.rs",58,codegen,".map_err(|e| CompileError::codegen(format!("define {prefix} global: {e}")))?;"
"src/codegen/mod.rs",86,codegen,".map_err(|e| CompileError::codegen(format!("unsupported target: {e}")))?;"
"src/codegen/mod.rs",89,codegen,".map_err(|e| CompileError::codegen(format!("ISA error: {e}")))?;"
"src/codegen/mod.rs",96,codegen,".map_err(|e| CompileError::codegen(format!("object builder error: {e}")))?;"
"src/codegen/mod.rs",124,codegen,".map_err(|e| CompileError::codegen(format!("declare extern fn error: {e}")))?;"
"src/codegen/mod.rs",148,codegen,".map_err(|e| CompileError::codegen(format!("declare function error: {e}")))?;"
"src/codegen/mod.rs",159,codegen,".map_err(|e| CompileError::codegen(format!("declare generator next error: {e}")))?;"
"src/codegen/mod.rs",173,codegen,".map_err(|e| CompileError::codegen(format!("declare method error: {e}")))?;"
"src/codegen/mod.rs",193,codegen,"CompileError::codegen(format!("missing sig for default method {mangled}"))"
"src/codegen/mod.rs",204,codegen,".map_err(|e| CompileError::codegen(format!("declare default method error: {e}")))?;"
"src/codegen/mod.rs",230,codegen,"CompileError::codegen(format!("missing func_id for vtable entry {mangled}"))"
"src/codegen/mod.rs",237,codegen,".map_err(|e| CompileError::codegen(format!("declare vtable data error: {e}")))?;"
"src/codegen/mod.rs",239,codegen,".map_err(|e| CompileError::codegen(format!("define vtable data error: {e}")))?;"
"src/codegen/mod.rs",361,codegen,".map_err(|e| CompileError::codegen(format!("define generator creator error for '{}': {e}", f.name.node)))?;"
"src/codegen/mod.rs",378,codegen,".map_err(|e| CompileError::codegen(format!("define generator next error for '{}': {e}", f.name.node)))?;"
"src/codegen/mod.rs",399,codegen,".map_err(|e| CompileError::codegen(format!("define function error for '{}': {e}", f.name.node)))?;"
